평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,자료구입비(천원)
2024,LIBTYPE000002,2050145001,전북특별자치도교육청익산학생교육문화관,전북,익산시,119620,5,1653,35589,68000
2024,LIBTYPE000002,2050145016,전북특별자치도교육청전주학생교육문화관,전북,전주시,223627,10,36901,82742,104412
2024,LIBTYPE000002,2050111020,서울특별시교육청영등포평생학습관(도서관),서울,영등포구,224810,17,10417,317148,207650
2024,LIBTYPE000002,2050124006,광주광역시교육청중앙도서관 분관 최상준도서관,광주,북구,53248,4,3738,71417,65400
2024,LIBTYPE000002,2050111019,서울특별시교육청마포평생학습관(도서관) 아현분관,서울,마포구,136909,9,8790,222061,164792
2024,LIBTYPE000002,2050145014,전북특별자치도교육청군산학생교육문화관 대야분관,전북,군산시,44826,3,9208,9208,27840
2024,LIBTYPE000002,2050145007,전북특별자치도교육청김제학생교육문화관 금산분관,전북,김제시,54006,3,188,3363,18000
2024,LIBTYPE000002,2050145013,전북특별자치도교육청남원학생교육문화관 운봉분관,전북,남원시,61113,3,239,7395,24000
2024,LIBTYPE000002,2050145002,전북특별자치도교육청익산학생교육문화관 함열분관,전북,익산시,70797,3,336,927,8000
2024,LIBTYPE000002,2030141008,한국장학재단-은행권 제1호 대학생연합생활관 인성교육관 도서관,경기,고양시,13754,1,453,6239,11446
2024,LIBTYPE000002,2060811018,둘리도서관,서울,도봉구,15603,2,3294,14405,8601
2024,LIBTYPE000002,2060845002,늘푸른도서관,전북,군산시,86430,4,6043,82610,82158
2024,LIBTYPE000002,2030842001,담작은도서관,강원,춘천시,26983,4,3006,32142,40334
2024,LIBTYPE000002,2060811007,해오름도서관,서울,성북구,31985,3,4271,53919,22408
2024,LIBTYPE000002,2060846003,광양희망도서관,전남,광양시,59269,4,2883,97037,47118
2024,LIBTYPE000002,2060843004,맹동혁신도서관,충북,음성군,43523,4,2884,72268,45000
2024,LIBTYPE000002,2060821005,강서기적의도서관,부산,강서구,79940,6,11627,315112,116500
2024,LIBTYPE000002,2060846004,곡성어린이도서관,전남,곡성군,16826,2,1682,1682,10000
2024,LIBTYPE000002,2060811020,궁동어린이도서관,서울,구로구,25432,5,1913,49947,31478
2024,LIBTYPE000002,2060844001,금산기적의도서관,충남,금산군,52184,2,4390,24215,18840
2024,LIBTYPE000002,2060811003,길꽃어린이도서관,서울,강서구,63806,6,8391,131237,52800
2024,LIBTYPE000002,2060848006,김해기적의도서관,경남,김해시,62279,3,54063,187491,46570
2024,LIBTYPE000002,2030821001,꿈키어린이도서관,부산,동래구,9083,0,407,3178,2700
2024,LIBTYPE000002,2060848010,남부어린이도서관,경남,진주시,44136,3,6866,172962,52693
2024,LIBTYPE000002,2060811001,노원어린이도서관,서울,노원구,68453,6,9838,171065,46407
